"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_42448.mRNA1",408.384216021157,2.46075754507774,0.604524205653343,4.42753813036711,9.53147267997954e-06,0.00196944054250077
"Mlu_34957.mRNA1",918.232128216125,-0.741176252298156,0.167729532162963,-4.41806870980559,9.95867649822389e-06,0.00204553572356714
"Mlu_01131.mRNA1",24.6595877349531,2.43312507860953,0.539511318946516,4.4159592844861,1.00563013277159e-05,0.0020534375764059
"Mlu_08406.mRNA1",503.324157896283,0.932307054933518,0.211267066983701,4.40885501545768,1.03918561981536e-05,0.00208515898385264
"Mlu_30411.mRNA1",445.721259807723,-1.37170907287858,0.311230104959307,-4.40907334763034,1.03813863552872e-05,0.00208515898385264
"Mlu_32802.mRNA1",24.2196265771948,2.65470873677491,0.575189247372827,4.41041762031957,1.03171450689886e-05,0.00208515898385264
"Mlu_25743.mRNA1",176.862022339544,-1.55863429137351,0.354009051480036,-4.40366509418939,1.06437215343173e-05,0.0021234224460963
"Mlu_03534.mRNA1",24.0096609260459,2.16493318137796,0.481617419340849,4.38120786828143,1.18023206400405e-05,0.00231048141648473
"Mlu_04113.mRNA1",862.475527996123,-1.01379250780445,0.231296258825202,-4.38279916721298,1.17164111473221e-05,0.00231048141648473
"Mlu_09277.mRNA1",745.264726601933,-2.53073521364609,0.580976318946421,-4.3803736284363,1.18475986556703e-05,0.00231048141648473
"Mlu_11120.mRNA1",28.782358251175,2.23739044867794,0.516354073796222,4.38097545422585,1.18149181906426e-05,0.00231048141648473
"Mlu_34585.mRNA1",15.4283653226075,2.8564132307339,0.595817186271922,4.36835690071535,1.25184799669676e-05,0.00242767595024215
"Mlu_22422.mRNA1",76.067690522444,-1.79727755083739,0.408731050989011,-4.36209358557617,1.28823739702021e-05,0.00247311174228727
"Mlu_22971.mRNA1",730.772252182663,1.2789347360623,0.293252874737904,4.3618748686666,1.28952618717482e-05,0.00247311174228727
"Mlu_08754.mRNA1",36.3786238913583,-1.97757606769165,0.453162854673256,-4.35656990256824,1.32116512907237e-05,0.00251986841348841
"Mlu_06974.mRNA1",4759.33387243105,1.15966623269146,0.266910313628731,4.34674904752152,1.38170149605369e-05,0.00262092918210447
"Mlu_29389.mRNA1",1237.58762988562,-0.859781738912336,0.198611940712671,-4.32860689104877,1.50055499734707e-05,0.00283091117515808
"Mlu_23543.mRNA1",347.983887980453,-1.18681345164496,0.274687242917692,-4.31688212000136,1.58248614007039e-05,0.00296934277731154
"Mlu_27156.mRNA1",7279.73899767322,-1.02290171284634,0.237229916820631,-4.31161908686581,1.62063450155809e-05,0.00302457448669817
